,Posizione,Interprete,Canzone,Anno,Autori,Posizione_numerica,Stato,Artista_spotify,Popolarità,Anno_ultimo_rilascio,Presentatore,Sede,Partecipanti,,,
322,3º,Wilma Goich - Les Surfs,In un fiore,1966,C. Donida e Mogol,3,Finalista,Chiara Arduini,4,2024,Mike Bongiorno,Casinò di Sanremo,47,,,
323,4º,Pino Donaggio - Claudio Villa,Una casa in cima al mondo,1966,P. Donaggio e V. Pallavicini,4,Finalista,Mina,29,1966,Mike Bongiorno,Casinò di Sanremo,47,,,
324,5º,Anna Identici - The New Christy Minstrels,Una rosa da Vienna,1966,G. Guarnieri e B. Lauzi,5,Finalista,Anna Identici,0,1994,Mike Bongiorno,Casinò di Sanremo,47,,,
325,6º (ex aequo),Orietta Berti - Ornella Vanoni,Io ti darò di più,1966,M. Remigi e A. Testa,6,Finalista,Orietta Berti,38,2000,Mike Bongiorno,Casinò di Sanremo,47,,,
326,6º (ex aequo),Giorgio Gaber - Pat Boone,Mai mai mai Valentina,1966,G. Colonnello e A. Testa,6,Finalista,Giorgio Gaber,40,2010,Mike Bongiorno,Casinò di Sanremo,47,,,
327,8º,Edoardo Vianello - Françoise Hardy,Parlami di te,1966,E. Vianello e V. Pallavicini,8,Finalista,L-DREAM,33,2023,Mike Bongiorno,Casinò di Sanremo,47,,,
328,9º (ex aequo),Sergio Endrigo - Chad & Jeremy,Adesso sì,1966,S. Endrigo,9,Finalista,Lucio Battisti,20,1971,Mike Bongiorno,Casinò di Sanremo,47,,,
329,9º (ex aequo),Milva - Richard Anthony,Nessuno di voi,1966,G. Kramer e V. Pallavicini,9,Finalista,WOW,4,2014,Mike Bongiorno,Casinò di Sanremo,47,,,
330,9º (ex aequo),Peppino Gagliardi - Pat Boone,Se tu non fossi qui,1966,C. A. Rossi e M. Terzi,9,Finalista,Mina,30,1966,Mike Bongiorno,Casinò di Sanremo,47,,,
331,12º,Remo Germani - Les Surfs,Così come viene,1966,E. Leoni e V. Pallavicini,12,Finalista,Remo Germani,3,1966,Mike Bongiorno,Casinò di Sanremo,47,,,
332,13º,Iva Zanicchi - Vic Dana,La notte dell'addio,1966,"A. Amadesi, G. Diverio, M. Remigi e A. Testa",13,Finalista,Iva Zanicchi,29,1966,Mike Bongiorno,Casinò di Sanremo,47,,,
333,14º,I Ribelli - The New Christy Minstrels,A la buena de Dios,1966,G. Malgoni e B. Pallesi,14,Finalista,La 25,29,2018,Mike Bongiorno,Casinò di Sanremo,47,,,
334,NF,Luciana Turina - Gino,Dipendesse da me,1966,V. Pallavicini e I. Pattacini,,Non Finalista,Al Rangone,7,2008,Mike Bongiorno,Casinò di Sanremo,47,,,
335,NF,Adriano Celentano - Trio del Clan,Il ragazzo della via Gluck,1966,"L. Beretta, M. Del Prete e A. Celentano",,Non Finalista,Adriano Celentano,46,1969,Mike Bongiorno,Casinò di Sanremo,47,,,
336,NF,Franco Tozzi - Bobby Vinton,Io non posso crederti,1966,G. Marchetti e G. Sanjust,,Non Finalista,,,,Mike Bongiorno,Casinò di Sanremo,47,,,
337,NF,Anna Marchetti - Plinio Maggi,Io ti amo,1966,G. Fallabrino e P. Maggi,,Non Finalista,Tony Colombo,29,2015,Mike Bongiorno,Casinò di Sanremo,47,,,
338,NF,Gino Paoli - Ricardo,La carta vincente,1966,G. Paoli,,Non Finalista,Memo Remigi,1,2015,Mike Bongiorno,Casinò di Sanremo,47,,,
339,NF,Nicola Di Bari - Gene Pitney,Lei mi aspetta,1966,V. Pallavicini e A. Baldan Bembo,,Non Finalista,Giusy Attanasio,15,2018,Mike Bongiorno,Casinò di Sanremo,47,,,
340,NF,Lucio Dalla - The Yardbirds,Pafff... bum!,1966,S. Bardotti e G. F. Reverberi,,Non Finalista,Lucio Dalla,27,1966,Mike Bongiorno,Casinò di Sanremo,47,,,
341,NF,Giuseppe Di Stefano - P. J. Proby,Per questo voglio te,1966,Mogol e M. Deponti,,Non Finalista,Ornella Vanoni,0,1996,Mike Bongiorno,Casinò di Sanremo,47,,,
342,NF,Luciano Tomei - Luis Alberto del Paranà e Los Paraguayos,Quando vado sulla riva,1966,F. Maresca e M. Pagano,,Non Finalista,Pino Daniele,60,1991,Mike Bongiorno,Casinò di Sanremo,47,,,
343,NF,Bobby Solo - The Yardbirds,Questa volta,1966,Mogol e R. Satti,,Non Finalista,Ludovico Einaudi,44,2004,Mike Bongiorno,Casinò di Sanremo,47,,,
344,NF,John Foster - Paola Bertoni,Se questo ballo non finisse mai,1966,V. Pallavicini e G. Mescoli,,Non Finalista,Paola Bertoni,0,1965,Mike Bongiorno,Casinò di Sanremo,47,,,
345,NF,Equipe 84 - The Renegades,Un giorno tu mi cercherai,1966,Pantros e F. Campanino,,Non Finalista,Topi Sorsakoski,34,2007,Mike Bongiorno,Casinò di Sanremo,47,,,
346,1º,Claudio Villa - Iva Zanicchi,Non pensare a me,1967,A. Testa e E. Sciorilli,1,Vincitore,,,,Mike Bongiorno,Casinò di Sanremo,58,,,
347,2º,Annarita Spinaci - Les Surfs,Quando dico che ti amo,1967,A. Testa e T. Renis,2,Finalista,Tony Renis,33,2001,Mike Bongiorno,Casinò di Sanremo,58,,,
348,3º,I Giganti - The Bachelors,Proposta,1967,Albula e G. B. Martelli,3,Finalista,I Giganti,36,2010,Mike Bongiorno,Casinò di Sanremo,58,,,
349,4º,Ornella Vanoni - Mario Guarnera,La musica è finita,1967,"Nisa, F. Califano e U. Bindi",4,Finalista,Mina,20,1968,Mike Bongiorno,Casinò di Sanremo,58,,,
350,5º,Orietta Berti - Les Compagnons de la Chanson,"Io, tu e le rose",1967,"D. Pace, M. Panzeri, M. G. Gili e L. Barazzetti",5,Finalista,Orietta Berti,30,1998,Mike Bongiorno,Casinò di Sanremo,58,,,
351,6º,Lucio Dalla - The Rokes,Bisogna saper perdere,1967,G. Cassia e R. Cini,6,Finalista,The Rokes,22,2017,Mike Bongiorno,Casinò di Sanremo,58,,,
352,7º,Sergio Endrigo - Memo Remigi,Dove credi di andare,1967,S. Endrigo,7,Finalista,Sergio Endrigo,3,1968,Mike Bongiorno,Casinò di Sanremo,58,,,
353,8º,Gian Pieretti - Antoine,Pietre,1967,G. Pieretti e R. Gianco,8,Finalista,Nerissima Serpe,45,2023,Mike Bongiorno,Casinò di Sanremo,58,,,
354,9º,Johnny Dorelli - Don Backy,L'immensità,1967,"D. Backy, Mogol e D. Mariano",9,Finalista,Johnny Dorelli,39,1990,Mike Bongiorno,Casinò di Sanremo,58,,,
355,10º,Little Tony - Mario Zelinotti,Cuore matto,1967,A. Ambrosino e T. Savio,10,Finalista,Little Tony,50,2000,Mike Bongiorno,Casinò di Sanremo,58,,,
356,11º (ex aequo),Pino Donaggio - Carmen Villani,Io per amore,1967,"P. Donaggio, G. Paoli e V. Pallavicini",11,Finalista,Pino Donaggio,21,2004,Mike Bongiorno,Casinò di Sanremo,58,,,
357,11º (ex aequo),Wilma Goich - The Bachelors,Per vedere quant'è grande il mondo,1967,Mogol e C. Donida,11,Finalista,Wilma Goich,2,2001,Mike Bongiorno,Casinò di Sanremo,58,,,
358,13º (ex aequo),Giorgio Gaber - Remo Germani,E allora dai,1967,G. Gaber,13,Finalista,Giorgio Gaber,28,2010,Mike Bongiorno,Casinò di Sanremo,58,,,
359,13º (ex aequo),Gianni Pettenati - Gene Pitney,La rivoluzione,1967,Mogol e R. Soffici,13,Finalista,Gianni Pettenati,34,2015,Mike Bongiorno,Casinò di Sanremo,58,,,
360,NF,Bobby Solo - Connie Francis,Canta ragazzina,1967,"Prog, I. Pattacini e C. Donida",,Non Finalista,Mina,19,2014,Mike Bongiorno,Casinò di Sanremo,58,,,
361,NF,Riki Maiocchi - Marianne Faithfull,C'è chi spera,1967,"M. Panzeri, D. Pace e G. Colonnello",,Non Finalista,Riki Maiocchi,4,1998,Mike Bongiorno,Casinò di Sanremo,58,,,
362,NF,Luigi Tenco - Dalida,"Ciao amore, ciao",1967,L. Tenco,,Non Finalista,Luigi Tenco,43,2001,Mike Bongiorno,Casinò di Sanremo,58,,,
363,NF,Peppino Di Capri - Dionne Warwick,Dedicato all'amore,1967,"A. Testa, D. Pace e F. Carraresi",,Non Finalista,Mauro Caputo,7,2001,Mike Bongiorno,Casinò di Sanremo,58,,,
364,NF,Roberta Amadei - Carmelo Pagano,Devi aver fiducia in me,1967,F. Specchia e R. Martini,,Non Finalista,The Hollies,1,1966,Mike Bongiorno,Casinò di Sanremo,58,,,
365,NF,Tony Del Monaco - Betty Curtis,È più forte di me,1967,T. Del Monaco e E. Polito,,Non Finalista,Ligabue,26,2005,Mike Bongiorno,Casinò di Sanremo,58,,,
366,NF,Fred Bongusto - Anna German,Gi,1967,"V. Pallavicini, A. Amurri e F. Bongusto",,Non Finalista,J Balvin,75,2016,Mike Bongiorno,Casinò di Sanremo,58,,,
367,NF,Nicola Di Bari - Gene Pitney,Guardati alle spalle,1967,L. Beretta e D. Pace,,Non Finalista,Nicola Di Bari,1,1967,Mike Bongiorno,Casinò di Sanremo,58,,,
368,NF,Caterina Caselli - Sonny Bono e Cher,Il cammino di ogni speranza,1967,U. Napolitano,,Non Finalista,Caterina Caselli,18,1967,Mike Bongiorno,Casinò di Sanremo,58,,,
369,NF,Nico Fidenco - Cher,Ma piano (Per non svegliarmi),1967,G. Meccia,,Non Finalista,Nomadi,2,1994,Mike Bongiorno,Casinò di Sanremo,58,,,
370,NF,Jimmy Fontana - Edoardo Vianello,Nasce una vita,1967,S. Bardotti e J. Fontana,,Non Finalista,4Tu,13,2019,Mike Bongiorno,Casinò di Sanremo,58,,,
371,NF,Mino Reitano - The Hollies,Non prego per me,1967,Mogol e L. Battisti,,Non Finalista,Mino Reitano,10,2014,Mike Bongiorno,Casinò di Sanremo,58,,,
372,NF,Los Marcellos Ferial - The Happenings,Quando vedrò,1967,M. Terzi e C. A. Rossi,,Non Finalista,dile,39,2022,Mike Bongiorno,Casinò di Sanremo,58,,,
373,NF,Domenico Modugno - Gidiuli,Sopra i tetti azzurri del mio pazzo amore,1967,V. Pallavicini e D. Modugno,,Non Finalista,Domenico Modugno,3,2013,Mike Bongiorno,Casinò di Sanremo,58,,,
374,NF,Donatella Moretti - Bobby Goldsboro,Una ragazza,1967,"V. Pallavicini, B. Pallesi e W. Malgoni",,Non Finalista,I Giganti,54,1966,Mike Bongiorno,Casinò di Sanremo,58,,,
375,NF,Milva - Los Bravos,Uno come noi,1967,"U. Martucci, G. Bertero e M. Marini",,Non Finalista,Nashley,45,2023,Mike Bongiorno,Casinò di Sanremo,58,,,
376,1º,Sergio Endrigo - Roberto Carlos,Canzone per te,1968,"S. Endrigo, S. Bardotti",1,Vincitore,,,,Pippo Baudo,Casinò di Sanremo,48,,,
377,2º,Ornella Vanoni - Marisa Sannia,Casa bianca,1968,"A. Caponi, E. La Valle",2,Finalista,Don Backy,20,2012,Pippo Baudo,Casinò di Sanremo,48,,,
378,3º,Adriano Celentano - Milva,Canzone,1968,"A. Caponi, D. Mariano",3,Finalista,Lucio Dalla,57,1996,Pippo Baudo,Casinò di Sanremo,48,,,
379,4º,Fausto Leali - Wilson Pickett,Deborah,1968,"V. Pallavicini, G. Conte e P. Massara",4,Finalista,Enzo Dong,41,2019,Pippo Baudo,Casinò di Sanremo,48,,,
380,5º,Antoine - Gianni Pettenati,La tramontana,1968,D. Pace e M. Panzeri,5,Finalista,Gianni Pettenati,35,2015,Pippo Baudo,Casinò di Sanremo,48,,,
381,6º,Anna Identici - The Sandpipers,Quando m'innamoro,1968,"M. Panzeri, D. Pace e R. Livraghi",6,Finalista,Anna Identici,25,2002,Pippo Baudo,Casinò di Sanremo,48,,,
382,7º,Massimo Ranieri - I Giganti,Da bambino,1968,R. Pradella e R. Angiolini,7,Finalista,Massimo Ranieri,11,1984,Pippo Baudo,Casinò di Sanremo,48,,,
383,8º,Gigliola Cinquetti - Giuliana Valci,Sera,1968,R. Vecchioni e A. Lo Vecchio,8,Finalista,Sfera Ebbasta,68,2016,Pippo Baudo,Casinò di Sanremo,48,,,
384,9º,Al Bano - Bobbie Gentry,La siepe,1968,V. Pallavicini e P. Massara,9,Finalista,Fulminacci,47,2024,Pippo Baudo,Casinò di Sanremo,48,,,
385,10º,Little Tony - Mario Guarnera,Un uomo piange solo per amore,1968,"Petaluma, M. Vicari e M. Marrocchi",10,Finalista,Little Tony,41,1990,Pippo Baudo,Casinò di Sanremo,48,,,
386,11º,Wilma Goich - Dino,Gli occhi miei,1968,Mogol e C. Donida,11,Finalista,Dino,28,1997,Pippo Baudo,Casinò di Sanremo,48,,,
387,12º,Annarita Spinaci - Yoko Kishi,Stanotte sentirai una canzone,1968,T. Queirolo e F. Bracardi,12,Finalista,Lara Saint Paul,1,2019,Pippo Baudo,Casinò di Sanremo,48,,,
388,13º,Louis Armstrong - Lara Saint Paul,Mi va di cantare,1968,"V. Buonassisi, G. Bertero, M. Marini e A. Valleroni",13,Finalista,Louis Armstrong,31,2013,Pippo Baudo,Casinò di Sanremo,48,,,
389,14º,Tony Del Monaco - Dionne Warwick,La voce del silenzio,1968,"P. Limiti, Mogol e E. Isola",14,Finalista,Andrea Bocelli,27,2007,Pippo Baudo,Casinò di Sanremo,48,,,
390,NF,Peppino Gagliardi - Eartha Kitt,Che vale per me,1968,M. Terzi e C. A. Rossi,,Non Finalista,Valerio Scanu,10,2010,Pippo Baudo,Casinò di Sanremo,48,,,
391,NF,Tony Renis - Domenico Modugno,Il posto mio,1968,A. Testa e T. Renis,,Non Finalista,Francesca Michielin,22,2018,Pippo Baudo,Casinò di Sanremo,48,,,
392,NF,Nino Ferrer - Pilade,Il re d'Inghilterra,1968,N. Ferrer,,Non Finalista,Gianfranco Intra Orchestra,0,2021,Pippo Baudo,Casinò di Sanremo,48,,,
393,NF,Johnny Dorelli - Paul Anka,La farfalla impazzita,1968,Mogol e L. Battisti,,Non Finalista,Lucio Battisti,17,2020,Pippo Baudo,Casinò di Sanremo,48,,,
394,NF,Elio Gandolfi - Shirley Bassey,La vita,1968,A. Amurri e B. Canfora,,Non Finalista,Max Gazzè,56,2015,Pippo Baudo,Casinò di Sanremo,48,,,
395,NF,The Rokes - The Cowsills,Le opere di Bartolomeo,1968,S. Bardotti e R. Cini,,Non Finalista,The Rokes,14,2002,Pippo Baudo,Casinò di Sanremo,48,,,
396,NF,Pino Donaggio - Timi Yuro,Le solite cose,1968,V. Pallavicini e P. Donaggio,,Non Finalista,Stefano Bollani,31,2010,Pippo Baudo,Casinò di Sanremo,48,,,
397,NF,Giusy Romeo - Sacha Distel,No amore,1968,"V. Pallavicini, P. Conte, M. Deponti e E. Intra",,Non Finalista,Giuni Russo,3,2013,Pippo Baudo,Casinò di Sanremo,48,,,
398,NF,Iva Zanicchi - Udo Jürgens,Per vivere,1968,Nisa e U. Bindi,,Non Finalista,Laura Pausini,23,2000,Pippo Baudo,Casinò di Sanremo,48,,,
399,NF,Orietta Berti - Piergiorgio Farina,Tu che non sorridi mai,1968,M. Terzi e S. Sili,,Non Finalista,Orietta Berti,3,2000,Pippo Baudo,Casinò di Sanremo,48,,,
400,1º,Bobby Solo - Iva Zanicchi,Zingara,1969,L. Albertelli e E. Riccardi,1,Vincitore,,,,Nuccio Costa,Casinò di Sanremo,48,,,
401,2º,Sergio Endrigo - Mary Hopkin,Lontano dagli occhi,1969,"S. Bardotti, S. Endrigo e L. Bacalov",2,Finalista,Sergio Endrigo,40,2000,Nuccio Costa,Casinò di Sanremo,48,,,
402,3º,Don Backy - Milva,Un sorriso,1969,A. Caponi e D. Mariano,3,Finalista,Don Backy,10,2012,Nuccio Costa,Casinò di Sanremo,48,,,
403,4º,Fausto Leali - Tony Del Monaco,Un'ora fa,1969,"L. Beretta, E. Parazzini e G. Intra",4,Finalista,Fausto Leali,38,1970,Nuccio Costa,Casinò di Sanremo,48,,,
404,5º,Nada - The Rokes,Ma che freddo fa,1969,F. Migliacci e C. Mattone,5,Finalista,Nada,60,1969,Nuccio Costa,Casinò di Sanremo,48,,,
405,6º,Gigliola Cinquetti - France Gall,La pioggia,1969,"D. Pace, G. Argenio, C. Conti e M. Panzeri",6,Finalista,Gigliola Cinquetti,34,1983,Nuccio Costa,Casinò di Sanremo,48,,,
406,7º,Mal - The Showmen,Tu sei bella come sei,1969,"G. Cassia, S. Bardotti, M. Marrocchi e M. Vicari",7,Finalista,DANDY TURNER,52,2019,Nuccio Costa,Casinò di Sanremo,48,,,
407,8º,Caterina Caselli - Johnny Dorelli,Il gioco dell'amore,1969,F. Migliacci e I. Callegari,8,Finalista,Danijay,48,2003,Nuccio Costa,Casinò di Sanremo,48,,,
408,9º,Lucio Battisti - Wilson Pickett,Un'avventura,1969,Mogol e L. Battisti,9,Finalista,Lucio Battisti,61,1969,Nuccio Costa,Casinò di Sanremo,48,,,
409,10º,Orietta Berti - Massimo Ranieri,Quando l'amore diventa poesia,1969,Mogol e P. Soffici,10,Finalista,Il Volo,44,2015,Nuccio Costa,Casinò di Sanremo,48,,,
410,11º,Carmen Villani - Alessandra Casaccia,Piccola piccola,1969,"V. Buonassisi, G. Bertero, M. Marini e A. Valleroni",11,Finalista,Gianni Marchetti,38,1969,Nuccio Costa,Casinò di Sanremo,48,,,
411,12º,Little Tony - Mario Zelinotti,Bada bambina,1969,F. Migliacci e B. Zambrini,12,Finalista,Little Tony,32,2000,Nuccio Costa,Casinò di Sanremo,48,,,
412,13º,Rita Pavone - Dik Dik,Zucchero,1969,"Mogol, L. Clausetti, R. Soffici, P. Soffici e R. Guscelli",13,Finalista,Zucchero,55,1995,Nuccio Costa,Casinò di Sanremo,48,,,
413,14º,Riccardo Del Turco - Antoine,Cosa hai messo nel caffè?,1969,"G. Bigazzi, R. Del Turco e G. Reverberi",14,Finalista,Malika Ayane,39,2013,Nuccio Costa,Casinò di Sanremo,48,,,
414,NF,Junior Magli - The Casuals,Alla fine della strada,1969,"D. Pace, M. Panzeri e L. Pilat",,Non Finalista,Orietta Berti,13,2000,Nuccio Costa,Casinò di Sanremo,48,,,
415,NF,Wilma Goich - The Sweet Inspirations,Baci baci baci,1969,S. Bardotti e F. Bracardi,,Non Finalista,Fulminacci,59,2024,Nuccio Costa,Casinò di Sanremo,48,,,
416,NF,Checco - Elio Gandolfi,Il sole è tramontato,1969,"R. Pradella, C. Marsella, R. Nisi e G. Moschini",,Non Finalista,Giorgio Carnini,0,2019,Nuccio Costa,Casinò di Sanremo,48,,,
417,NF,Rosanna Fratello - Brenton Wood,Il treno,1969,V. Pallavicini e E. Isola,,Non Finalista,Riccardo Cocciante,31,1979,Nuccio Costa,Casinò di Sanremo,48,,,
418,NF,New Trolls - Leonardo,Io che ho te,1969,"G. D'Adamo, V. De Scalzi e N. Di Palo",,Non Finalista,New Trolls,29,2013,Nuccio Costa,Casinò di Sanremo,48,,,
419,NF,Robertino - Rocky Roberts,Le belle donne,1969,"V. Pallavicini, G. Conte e M. Virano",,Non Finalista,Stadio,17,2007,Nuccio Costa,Casinò di Sanremo,48,,,
420,NF,Mino Reitano - Claudio Villa,Meglio una sera (Piangere da solo),1969,"N. Salerno, A. Salerno, F. Reitano e M. Reitano",,Non Finalista,Claudio Villa,8,2008,Nuccio Costa,Casinò di Sanremo,48,,,
421,NF,Armando Savini - Sonia,Non c'è che lei,1969,M. Terzi e C. A. Rossi,,Non Finalista,Nek,20,1997,Nuccio Costa,Casinò di Sanremo,48,,,
422,NF,Gabriella Ferri - Stevie Wonder,Se tu ragazzo mio,1969,"V. Ferri, G. Ferri e P. Pintucci",,Non Finalista,Tutte Le Cose Inutili,15,2023,Nuccio Costa,Casinò di Sanremo,48,,,
423,NF,Memo Remigi - Isabella Iannetti,Una famiglia,1969,A. Testa e M. Remigi,,Non Finalista,La Comparsa Del Jona,25,2020,Nuccio Costa,Casinò di Sanremo,48,,,
424,1º,Adriano Celentano - Claudia Mori,Chi non lavora non fa l'amore,1970,"L. Beretta, M. Del Prete, A. Celentano, N. de Luca",1,Vincitore,,,,Nuccio Costa,Casinò di Sanremo,52,,,
425,2º,Nicola Di Bari - Ricchi e Poveri,La prima cosa bella,1970,"Mogol, M. Scommegna, G. F. Reverberi",2,Finalista,Nicola Di Bari,49,2000,Nuccio Costa,Casinò di Sanremo,52,,,
426,3º,Sergio Endrigo - Iva Zanicchi,L'arca di Noè,1970,"S. Endrigo, L. Bacalov",3,Finalista,Iva Zanicchi,28,2010,Nuccio Costa,Casinò di Sanremo,52,,,
427,4º,Ornella Vanoni - Camaleonti,Eternità,1970,"G. Bigazzi, C. Cavallaro",4,Finalista,Ornella Vanoni,32,2008,Nuccio Costa,Casinò di Sanremo,52,,,
428,5º,Patty Pravo - Little Tony,La spada nel cuore,1970,"Mogol, C. Donida Labati",5,Finalista,Little Tony,42,1990,Nuccio Costa,Casinò di Sanremo,52,,,
429,6º,Gigliola Cinquetti - Bobby Solo,Romantico blues,1970,"L. Pilat, M. Panzeri e D. Pace",6,Finalista,Engelbert Humperdinck,36,2021,Nuccio Costa,Casinò di Sanremo,52,,,
430,7º,Rosalino Cellamare - Nada,Pa' diglielo a ma',1970,"F. Migliacci, R. Gigli, E. Sbriccoli, M. Cantini e L. Greco",7,Finalista,Nada,11,2001,Nuccio Costa,Casinò di Sanremo,52,,,
431,8º (ex aequo),Antoine - Anna Identici,Taxi,1970,"G. Argenio, F. Arrigoni, D. Pace, M. Panzeri e C. Conti",8,Finalista,Tony Effe,72,2023,Nuccio Costa,Casinò di Sanremo,52,,,
432,8º (ex aequo),Orietta Berti - Mario Tessuto,Tipitipitì,1970,"L. Pilat, M. Panzeri e D. Pace",8,Finalista,Orietta Berti,8,1998,Nuccio Costa,Casinò di Sanremo,52,,,
433,10º,Luciano Tajoli - Mal,Sole pioggia e vento,1970,Mogol e A. Isola,10,Finalista,Perigeo,4,1973,Nuccio Costa,Casinò di Sanremo,52,,,
434,11º,Gianni Nazzaro - Marisa Sannia,L'amore è una colomba,1970,G. Bigazzi e Totò Savio,11,Finalista,Gianni Nazzaro,7,1990,Nuccio Costa,Casinò di Sanremo,52,,,
435,12º,Fausto Leali - Carmen Villani,Hippy,1970,L. Beretta e F. Leali,12,Finalista,Fausto Leali,1,1970,Nuccio Costa,Casinò di Sanremo,52,,,
436,13º,Tony Renis - Sergio Leonardi,Canzone blu,1970,"Mogol, A. Testa e E. Cesari",13,Finalista,Peter White,43,2023,Nuccio Costa,Casinò di Sanremo,52,,,
437,14º,Nino Ferrer - Caterina Caselli,Re di cuori,1970,"G. Bigazzi, C. Cavallaro e Totò Savio",14,Finalista,Yosef,22,2023,Nuccio Costa,Casinò di Sanremo,52,,,
438,NF,Rocky Roberts - Il Supergruppo,Accidenti,1970,G. Pieretti e R. Gianco,,Non Finalista,Rocky Roberts,16,2002,Nuccio Costa,Casinò di Sanremo,52,,,
439,NF,Rita Pavone - Valeria Mongardini,Ahi ahi ragazzo!,1970,F. Migliacci e U. Napolitano,,Non Finalista,Rita Pavone,16,2009,Nuccio Costa,Casinò di Sanremo,52,,,
440,NF,Ragazzi della via Gluck - Paolo Mengoli,Ahi! Che male che mi fai,1970,C. Minellono e S. Cutugno,,Non Finalista,Paolo Mengoli,0,2000,Nuccio Costa,Casinò di Sanremo,52,,,
441,NF,Pino Donaggio - Sandie Shaw,Che effetto mi fa,1970,C. Minellono e G. Donaggio,,Non Finalista,DOXX,29,2021,Nuccio Costa,Casinò di Sanremo,52,,,
442,NF,Rosanna Fratello - I Domodossola,Ciao anni verdi,1970,"V. Pallavicini, N. De Luca e A. Celentano",,Non Finalista,Rosanna Fratello,3,2001,Nuccio Costa,Casinò di Sanremo,52,,,
443,NF,Donatello - Dik Dik,Io mi fermo qui,1970,L. Albertelli e E. Riccardi,,Non Finalista,Ornella Vanoni,31,2001,Nuccio Costa,Casinò di Sanremo,52,,,
444,NF,Michele - Lucia Rizzi,L'addio,1970,"S. Bardotti, A. Lo Vecchio, G. Antola, M. Francesio e P. Maggi",,Non Finalista,Giuni Russo,30,1981,Nuccio Costa,Casinò di Sanremo,52,,,
445,NF,Emiliana Perina - Gens,La stagione di un fiore,1970,"L. Rossi, S. Ruisi e G. Marchetti",,Non Finalista,Gens,1,2006,Nuccio Costa,Casinò di Sanremo,52,,,
446,NF,Renato Rascel - Pio,Nevicava a Roma,1970,"M. Del Prete, L. Beretta, R. Negri e G. Verdecchia",,Non Finalista,Renato Rascel,2,1963,Nuccio Costa,Casinò di Sanremo,52,,,
447,NF,Rossano - Dori Ghezzi,Occhi a mandorla,1970,V. Pallavicini e P. Soffici,,Non Finalista,Viross,1,2022,Nuccio Costa,Casinò di Sanremo,52,,,
448,NF,Francesco Banti - Dino Drusiani,Ora vivo,1970,A. Favata e A. Pagani,,Non Finalista,I Bisaquei,0,2012,Nuccio Costa,Casinò di Sanremo,52,,,
449,NF,Claudio Villa - Tony Del Monaco,Serenata,1970,"G. Bigazzi, F. Polito e A. Rosario",,Non Finalista,Jovanotti,51,1994,Nuccio Costa,Casinò di Sanremo,52,,,
450,1º,Nada - Nicola Di Bari,Il cuore è uno zingaro,1971,F. Migliacci e C. Mattone,1,Vincitore,,,,Carlo Giuffré,Casinò di Sanremo,48,,,
451,2º,Ricchi e Poveri - José Feliciano,Che sarà,1971,"F. Migliacci, C. Pes e J. Fontana",2,Finalista,Achille Lauro,49,2022,Carlo Giuffré,Casinò di Sanremo,48,,,
452,3º,Lucio Dalla - Equipe 84,4 marzo 1943,1971,L. Dalla e P. Pallottino,3,Finalista,Lucio Dalla,58,1970,Carlo Giuffré,Casinò di Sanremo,48,,,
453,4º,Donatello - Marisa Sannia,Com'è dolce la sera,1971,L. Albertelli e E. Riccardi,4,Finalista,Rosanna Fratello,6,2013,Carlo Giuffré,Casinò di Sanremo,48,,,
454,5º,Adriano Celentano - Coro Alpino Milanese,Sotto le lenzuola,1971,"L. Beretta, M. Del Prete e A. Celentano",5,Finalista,Gigi D'Alessio,47,1997,Carlo Giuffré,Casinò di Sanremo,48,,,
455,6º,Domenico Modugno - Carmen Villani,Come stai?,1971,R. Pazzaglia e D. Modugno,6,Finalista,Karma,19,2021,Carlo Giuffré,Casinò di Sanremo,48,,,
456,7º,Don Backy - Gianni Nazzaro,Bianchi cristalli sereni,1971,A. Caponi,7,Finalista,Don Backy,13,1996,Carlo Giuffré,Casinò di Sanremo,48,,,
457,8º,Al Bano - Aguaviva,"13, storia d'oggi",1971,V. Pallavicini e A. Carrisi,8,Finalista,Al Bano,2,2014,Carlo Giuffré,Casinò di Sanremo,48,,,
458,9º,Gigliola Cinquetti - Ray Conniff,Rose nel buio,1971,"L. Pilat, M. Panzeri e D. Pace",9,Finalista,Gigliola Cinquetti,2,2009,Carlo Giuffré,Casinò di Sanremo,48,,,
459,10º,Caterina Caselli - Dik Dik,Ninna nanna (Cuore mio),1971,L. Albertelli e E. Riccardi,10,Finalista,Dik Dik,9,2002,Carlo Giuffré,Casinò di Sanremo,48,,,
460,11º,Pino Donaggio - Peppino Di Capri,L'ultimo romantico,1971,V. Pallavicini e P. Donaggio,11,Finalista,Pino Donaggio,27,2013,Carlo Giuffré,Casinò di Sanremo,48,,,
461,12º,Little Tony - Formula 3,La folle corsa,1971,Mogol e C. Donida,12,Finalista,Lucio Battisti,20,2020,Carlo Giuffré,Casinò di Sanremo,48,,,
462,13º,Sergio Endrigo - New Trolls,Una storia,1971,S. Endrigo,13,Finalista,Eros Ramazzotti,49,2014,Carlo Giuffré,Casinò di Sanremo,48,,,
463,14º,Sergio Menegale - Wallace Collection,Il sorriso il paradiso,1971,S. Menegale e G. D'Errico,14,Finalista,Capitolo 6,7,2021,Carlo Giuffré,Casinò di Sanremo,48,,,
